code_name,type,from,to,Month_from,Day_from,time_from,Month_to,Day_to,time_to,Sum of Sum of f_price,Sum of Sum of fees,Sum of Sum of total_price
Vietnam Airlines,Economy (EG)-M,Hà Nội,TP HCM,April,6,1899-12-30 07:00:00,April,6,1899-12-30 09:15:00,5658000,1806000,7464000
Vietnam Airlines,Economy (EG)-M,TP HCM,Hà Nội,May,3,1899-12-30 09:00:00,May,3,1899-12-30 11:10:00,5658000,1806000,7464000
Vietnam Airlines,Business (BF)-J,Phú Quốc,Hà Nội,April,4,1899-12-30 03:45:00,April,4,1899-12-30 06:00:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Phú Quốc,Hà Nội,April,25,1899-12-30 07:00:00,April,25,1899-12-30 09:15:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Hà Nội,Phú Quốc,April,30,1899-12-30 03:20:00,April,30,1899-12-30 05:35:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Hà Nội,Nha Trang,April,30,1899-12-30 07:10:00,April,30,1899-12-30 09:10:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Hà Nội,Nha Trang,April,30,1899-12-30 12:25:00,April,30,1899-12-30 02:25:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Nha Trang,Hà Nội,May,3,1899-12-30 06:50:00,May,3,1899-12-30 08:50:00,5309000,1151000,6460000
Vietnam Airlines,Business (BF)-J,Phú Quốc,Hà Nội,May,3,1899-12-30 11:30:00,May,3,1899-12-30 01:45:00,5309000,1151000,6460000
Bamboo Airways,Buz Flex,Hà Nội,Phú Quốc,April,3,1899-12-30 02:00:00,April,3,1899-12-30 04:05:00,5300000,1152000,6452000
Bamboo Airways,Buz Flex,Phú Quốc,Hà Nội,April,4,1899-12-30 05:55:00,April,4,1899-12-30 08:00:00,5300000,1152000,6452000
Bamboo Airways,Buz Flex,Phú Quốc,Hà Nội,April,24,1899-12-30 05:55:00,April,24,1899-12-30 08:00:00,5300000,1152000,6452000
Bamboo Airways,Buz Flex,Phú Quốc,Hà Nội,May,2,1899-12-30 05:55:00,May,2,1899-12-30 08:00:00,5300000,1152000,6452000
Vietnam Airlines,Business (BF)-C,Phú Quốc,Hà Nội,April,4,1899-12-30 01:25:00,April,4,1899-12-30 03:40:00,4609000,1081000,5690000
